Ux,Uy,CellID
1.0198,-0.0115065,437
1.02285,-0.0165295,438
1.0267,-0.0216833,439
1.03114,-0.0276453,440
1.03599,-0.0344237,441
1.04093,-0.0423091,442
1.04559,-0.0514443,443
1.04953,-0.0619155,444
1.05229,-0.073709,445
1.05341,-0.0866981,446
1.05249,-0.100613,447
1.04917,-0.11508,448
1.04323,-0.129623,449
1.03449,-0.143644,450
1.02298,-0.156579,451
1.0089,-0.167973,452
0.992709,-0.177423,453
0.97557,-0.184101,454
0.959346,-0.186596,455
0.945703,-0.184779,456
0.93548,-0.181189,457
0.926115,-0.179304,458
0.911281,-0.178342,459
0.892197,-0.175386,460
0.877653,-0.171926,461
0.868377,-0.168347,462
0.860713,-0.163992,463
1.01706,-0.00213192,464
1.01836,-0.00716158,465
1.02065,-0.0114753,466
1.02384,-0.016456,467
1.02791,-0.0215408,468
1.03267,-0.0274324,469
1.03794,-0.0341517,470
1.04345,-0.042027,471
1.04882,-0.0512466,472
1.05362,-0.0619553,473
1.05736,-0.0741995,474
1.05958,-0.0879187,475
1.0598,-0.102908,476
1.05759,-0.118831,477
1.05262,-0.135253,478
1.04456,-0.151594,479
1.03328,-0.167289,480
1.01892,-0.181766,481
1.00202,-0.194229,482
0.983315,-0.204198,483
0.963178,-0.212536,484
0.94144,-0.220387,485
0.917792,-0.226006,486
0.893931,-0.225455,487
0.876394,-0.219245,488
0.86799,-0.212439,489
0.860595,-0.205611,490
0.850619,-0.198003,491
0.841894,-0.191342,492
1.01769,-0.00213529,493
1.01904,-0.00714857,494
1.02141,-0.0114351,495
1.02473,-0.0163657,496
1.02899,-0.0213696,497
1.03403,-0.0271703,498
1.03969,-0.0337967,499
1.04572,-0.0416104,500
1.05176,-0.0508396,501
1.0574,-0.0616844,502
1.06214,-0.0742492,503
1.0655,-0.0885392,504
1.06695,-0.104424,505
1.066,-0.12163,506
1.0622,-0.139789,507
1.05514,-0.158378,508
1.04459,-0.176797,509
1.03059,-0.194403,510
1.01333,-0.210454,511
0.99321,-0.224159,512
0.97166,-0.234068,513
0.95093,-0.238204,514
0.932694,-0.23687,515
0.917079,-0.234839,516
0.899179,-0.235524,517
0.874723,-0.23429,518
0.851155,-0.229617,519
0.835394,-0.224699,520
0.823284,-0.218571,521
1.01826,-0.00213729,522
1.01965,-0.00713238,523
1.02209,-0.0113901,524
1.02551,-0.0162658,525
1.02995,-0.0211818,526
1.03523,-0.0268773,527
1.04124,-0.0333849,528
1.04775,-0.0410966,529
1.05442,-0.0502735,530
1.06086,-0.061165,531
1.06658,-0.0739329,532
1.07107,-0.0886458,533
1.0738,-0.105253,534
1.0742,-0.123553,535
1.07177,-0.143246,536
1.06605,-0.163884,537
1.05667,-0.184901,538
1.04346,-0.205718,539
1.02631,-0.225561,540
1.0056,-0.243338,541
0.982091,-0.258345,542
0.955928,-0.271666,543
0.926709,-0.284092,544
0.894557,-0.291493,545
0.863872,-0.288827,546
0.843343,-0.280701,547
0.830667,-0.273091,548
0.815709,-0.263733,549
0.800596,-0.253999,550
1.01877,-0.00213854,551
1.02019,-0.00711484,552
1.02269,-0.0113431,553
1.0262,-0.0161617,554
1.03079,-0.0209864,555
1.03628,-0.0265678,556
1.04261,-0.0329385,557
1.04955,-0.0405179,558
1.05681,-0.0495936,559
1.06399,-0.060459,560
1.07065,-0.0733294,561
1.07625,-0.0883338,562
1.08025,-0.105495,563
1.08207,-0.124688,564
1.08115,-0.145678,565
1.077,-0.168132,566
1.06911,-0.191583,567
1.05714,-0.215487,568
1.04084,-0.239044,569
1.02028,-0.261217,570
0.995948,-0.280813,571
0.969221,-0.295615,572
0.942235,-0.30266,573
0.916938,-0.303156,574
0.893118,-0.305065,575
0.863801,-0.308732,576
0.82839,-0.305816,577
0.799637,-0.299302,578
0.779529,-0.291799,579
1.01923,-0.00213944,580
1.02067,-0.00709717,581
1.02323,-0.0112964,582
1.02681,-0.0160574,583
1.03153,-0.0207901,584
1.03721,-0.0262529,585
1.04381,-0.0324753,586
1.05114,-0.0399015,587
1.05892,-0.0488399,588
1.0668,-0.0596222,589
1.07433,-0.0725119,590
1.08099,-0.0876916,591
1.08625,-0.10525,592
1.08952,-0.125139,593
1.09018,-0.147199,594
1.08772,-0.171212,595
1.08161,-0.196823,596
1.07134,-0.223534,597
1.05646,-0.250626,598
1.03668,-0.277151,599
1.0123,-0.301927,600
0.983343,-0.324335,601
0.949169,-0.345858,602
0.90961,-0.365912,603
0.866049,-0.37578,604
0.8267,-0.370925,605
0.800712,-0.362252,606
0.779065,-0.353221,607
0.753945,-0.340064,608
1.01964,-0.0021403,609
1.0211,-0.00708008,610
1.0237,-0.0112512,611
1.02735,-0.0159558,612
1.03218,-0.0205978,613
1.03801,-0.0259413,614
1.04487,-0.0320101,615
1.05254,-0.0392706,616
1.0608,-0.0480465,617
1.06931,-0.0587025,618
1.07764,-0.0715446,619
1.0853,-0.0868016,620
1.09177,-0.10462,621
1.09645,-0.125031,622
1.09872,-0.147946,623
1.09802,-0.173239,624
1.0939,-0.200688,625
1.08564,-0.229893,626
1.07257,-0.260256,627
1.05429,-0.290982,628
1.0309,-0.321029,629
1.00223,-0.348684,630
0.969313,-0.370594,631
0.934535,-0.382515,632
0.900201,-0.387874,633
0.864499,-0.398197,634
0.818521,-0.405808,635
0.768574,-0.400443,636
0.731624,-0.391953,637
1.02001,-0.00214126,638
1.02148,-0.00706394,639
1.02412,-0.0112082,640
1.02782,-0.0158588,641
1.03275,-0.0204132,642
1.03872,-0.0256394,643
1.04579,-0.0315537,644
1.05376,-0.0386425,645
1.06245,-0.0472399,646
1.07153,-0.0577391,647
1.0806,-0.0704817,648
1.0892,-0.0857377,649
1.0968,-0.103706,650
1.10283,-0.12448,651
1.10667,-0.14805,652
1.10777,-0.174357,653
1.1057,-0.203318,654
1.09965,-0.234664,655
1.0888,-0.2679,656
1.07268,-0.302395,657
1.0512,-0.337303,658
1.02353,-0.37134,659
0.98839,-0.404469,660
0.945112,-0.439347,661
0.893102,-0.472782,662
0.833488,-0.487413,663
0.780482,-0.48094,664
0.743623,-0.473493,665
0.706502,-0.460992,666
1.02033,-0.0021423,667
1.02182,-0.00704896,668
1.02449,-0.0111681,669
1.02824,-0.0157675,670
1.03325,-0.0202386,671
1.03934,-0.0253515,672
1.04659,-0.0311145,673
1.05483,-0.0380309,674
1.0639,-0.0464414,675
1.0735,-0.0567639,676
1.08324,-0.0693698,677
1.09269,-0.0845654,678
1.10135,-0.102594,679
1.10863,-0.123599,680
1.114,-0.147647,681
1.11687,-0.174734,682
1.11683,-0.204892,683
1.11313,-0.237991,684
1.10476,-0.273657,685
1.09123,-0.311462,686
1.07223,-0.350931,687
1.04692,-0.391257,688
1.01419,-0.43045,689
0.975111,-0.463263,690
0.931424,-0.48335,691
0.885232,-0.499353,692
0.831613,-0.52621,693
0.759098,-0.538772,694
0.686801,-0.529375,695
1.02063,-0.00214336,696
1.02212,-0.00703519,697
1.02482,-0.0111311,698
1.02861,-0.0156827,699
1.03369,-0.0200756,700
1.03987,-0.0250808,701
1.04729,-0.0306982,702
1.05577,-0.0374452,703
1.06517,-0.0456668,704
1.07523,-0.0558017,705
1.08558,-0.0682464,706
1.09581,-0.0833374,707
1.10542,-0.101356,708
1.11389,-0.122486,709
1.12067,-0.146856,710
1.12526,-0.174527,711
1.12718,-0.20559,712
1.12584,-0.240061,713
1.12009,-0.277712,714
1.10944,-0.318319,715
1.09351,-0.361614,716
1.07167,-0.407103,717
1.04192,-0.453905,718
1.00112,-0.502689,719
0.948529,-0.559566,720
0.882051,-0.618172,721
0.79717,-0.642517,722
0.717446,-0.635658,723
0.658936,-0.630136,724
1.02089,-0.00214438,725
1.02239,-0.00702264,726
1.02511,-0.0110973,727
1.02893,-0.0156046,728
1.03408,-0.019925,729
1.04034,-0.0248292,730
1.0479,-0.0303086,731
1.05658,-0.0368926,732
1.06628,-0.0449281,733
1.07674,-0.0548719,734
1.08764,-0.0671409,735
1.09857,-0.0820971,736
1.10907,-0.100052,737
1.11862,-0.121228,738
1.1267,-0.145793,739
1.1329,-0.173877,740
1.13671,-0.205604,741
1.13763,-0.241109,742
1.1345,-0.2803,743
1.12695,-0.32315,744
1.11447,-0.369567,745
1.09635,-0.419438,746
1.07123,-0.473199,747
1.03702,-0.529084,748
0.993015,-0.578708,749
0.939538,-0.611913,750
0.878327,-0.65177,751
0.793759,-0.715894,752
0.668166,-0.730722,753
1.02112,-0.00214532,754
1.02263,-0.00701132,755
1.02537,-0.0110666,756
1.02921,-0.0155334,757
1.03441,-0.0197872,758
1.04075,-0.0245975,759
1.04843,-0.0299479,760
1.05728,-0.0363773,761
1.06725,-0.0442334,762
1.07807,-0.0539881,763
1.08945,-0.0660746,764
1.10101,-0.080877,765
1.1123,-0.098731,766
1.12284,-0.119892,767
1.13211,-0.144554,768
1.13979,-0.172907,769
1.14539,-0.205103,770
1.14841,-0.241353,771
1.14784,-0.281665,772
1.14336,-0.326197,773
1.1346,-0.375106,774
1.12051,-0.428257,775
1.10083,-0.486574,776
1.0734,-0.550915,777
1.02937,-0.622304,778
0.968738,-0.715407,779
0.892122,-0.829218,780
0.761038,-0.884055,781
0.601546,-0.873256,782
1.02132,-0.00214614,783
1.02284,-0.00700117,784
1.0256,-0.0110391,785
1.02946,-0.015469,786
1.0347,-0.0196621,787
1.0411,-0.0243862,788
1.04889,-0.0296173,789
1.0579,-0.0359021,790
1.06809,-0.0435882,791
1.07923,-0.0531603,792
1.09104,-0.065064,793
1.10315,-0.0797031,794
1.11515,-0.0974313,795
1.12658,-0.118533,796
1.13695,-0.143221,797
1.14595,-0.171727,798
1.15321,-0.204235,799
1.15818,-0.241,800
1.16001,-0.282099,801
1.1584,-0.327794,802
1.15339,-0.378532,803
1.14368,-0.434197,804
1.12888,-0.495692,805
1.1093,-0.566961,806
1.08087,-0.648657,807
1.03813,-0.723461,808
0.975464,-0.775295,809
0.896939,-0.87934,810
0.734483,-1.03762,811
1.0215,-0.00214685,812
1.02303,-0.00699213,813
1.0258,-0.0110145,814
1.02968,-0.0154111,815
1.03496,-0.0195494,816
1.04141,-0.0241949,817
1.04929,-0.0293169,818
1.05843,-0.0354679,819
1.06882,-0.0429952,820
1.08023,-0.0523938,821
1.09242,-0.0641193,822
1.10503,-0.0785923,823
1.11766,-0.0961807,824
1.12988,-0.117192,825
1.14123,-0.141855,826
1.15142,-0.170426,827
1.16018,-0.203118,828
1.16695,-0.240211,829
1.17098,-0.28184,830
1.172,-0.328279,831
1.17046,-0.380182,832
1.16529,-0.437725,833
1.1556,-0.501315,834
1.14389,-0.575017,835
1.12912,-0.663061,836
1.09045,-0.76012,837
1.02841,-0.903844,838
0.961709,-1.15772,839
0.687824,-1.25237,840
0.99741,-0.00244425,841
0.997873,-0.00229588,842
0.998152,-0.00215223,843
0.99827,-0.00201296,844
0.998233,-0.00187789,845
0.998039,-0.00174681,846
0.997673,-0.00161995,847
0.99711,-0.00149825,848
0.996321,-0.00138344,849
0.99528,-0.00127812,850
0.993974,-0.00118568,851
0.992407,-0.00111004,852
0.990618,-0.0010551,853
0.988681,-0.00102395,854
0.98671,-0.00101789,855
0.984851,-0.00103554,856
0.983268,-0.00107219,857
0.982119,-0.00111966,858
0.981529,-0.00116693,859
0.998327,-0.00346625,860
0.998008,-0.0033998,861
0.997863,-0.00332408,862
0.997866,-0.0032441,863
0.998008,-0.0031619,864
0.998302,-0.00307869,865
0.998772,-0.00299452,866
0.999459,-0.00290779,867
1.00041,-0.00281504,868
1.00167,-0.00271069,869
1.00326,-0.00258694,870
1.00519,-0.0024341,871
1.0074,-0.00224144,872
1.0098,-0.00199864,873
1.01222,-0.00169792,874
1.01444,-0.00133623,875
1.01624,-0.000917314,876
1.01739,-0.000452605,877
1.01772,3.93129e-05,878
0.993428,-0.00636971,879
0.993591,-0.00595367,880
0.993674,-0.00552327,881
0.993678,-0.00507707,882
0.993592,-0.00461581,883
0.993388,-0.00414046,884
0.993024,-0.00365301,885
0.992444,-0.00315698,886
0.991583,-0.0026578,887
0.990374,-0.00216315,888
0.988761,-0.00168325,889
0.986718,-0.00123061,890
0.984269,-0.000819189,891
0.981505,-0.000462702,892
0.978597,-0.000172235,893
0.975784,4.64477e-05,894
